engine,query,sf,repeats,median_s,std_s,cv,min_s,max_s,row_count,timestamp
duckdb,q1,1.0,5,0.01829,0.00357,0.195,0.0172,0.02537,4,2026-07-02T19:46:56
postgres,q1,1.0,5,0.97637,0.09503,0.0973,0.96577,1.18558,4,2026-07-02T19:46:56
mysql,q1,1.0,5,5.23784,0.00545,0.001,5.22866,5.24248,4,2026-07-02T19:46:56
sqlite,q1,1.0,5,3.15221,0.02128,0.0068,3.14628,3.18986,4,2026-07-02T19:46:56
duckdb,q3,1.0,5,0.01144,0.00514,0.4496,0.01081,0.023,10,2026-07-02T19:46:56
postgres,q3,1.0,5,0.23153,0.00887,0.0383,0.22929,0.25066,10,2026-07-02T19:46:56
mysql,q3,1.0,5,9.49124,0.27945,0.0294,8.87101,9.52751,10,2026-07-02T19:46:56
sqlite,q3,1.0,5,0.45139,0.00485,0.0108,0.44474,0.45798,10,2026-07-02T19:46:56
duckdb,q4,1.0,5,0.01476,0.00972,0.6585,0.01408,0.03629,5,2026-07-02T19:46:56
postgres,q4,1.0,5,0.11445,0.00169,0.0148,0.11312,0.1172,5,2026-07-02T19:46:56
mysql,q4,1.0,5,2.86936,0.08629,0.0301,2.74201,2.95254,5,2026-07-02T19:46:56
sqlite,q4,1.0,5,0.21124,0.00217,0.0103,0.21,0.21556,5,2026-07-02T19:46:56
duckdb,q5,1.0,5,0.01192,0.00208,0.1745,0.01138,0.01617,5,2026-07-02T19:46:56
postgres,q5,1.0,5,0.1394,0.00427,0.0306,0.13797,0.14843,5,2026-07-02T19:46:56
mysql,q5,1.0,5,8.429,0.18702,0.0222,8.28523,8.68153,5,2026-07-02T19:46:56
sqlite,q5,1.0,5,0.50916,0.00935,0.0184,0.50177,0.52363,5,2026-07-02T19:46:56
duckdb,q6,1.0,5,0.00587,0.0036,0.6131,0.00463,0.01337,1,2026-07-02T19:46:56
postgres,q6,1.0,5,0.13318,0.00093,0.007,0.13137,0.13376,1,2026-07-02T19:46:56
mysql,q6,1.0,5,0.90898,0.0066,0.0073,0.90033,0.91839,1,2026-07-02T19:46:56
sqlite,q6,1.0,5,0.5845,0.00448,0.0077,0.57966,0.592,1,2026-07-02T19:46:56
duckdb,q7,1.0,5,0.01367,0.00461,0.337,0.0127,0.02383,4,2026-07-02T19:46:56
postgres,q7,1.0,5,0.21051,0.00137,0.0065,0.20895,0.21225,4,2026-07-02T19:46:56
mysql,q7,1.0,5,7.12143,0.22338,0.0314,6.81702,7.37075,4,2026-07-02T19:46:56
sqlite,q7,1.0,5,3.29378,0.0241,0.0073,3.26356,3.32577,4,2026-07-02T19:46:56
duckdb,q10,1.0,5,0.03079,0.00143,0.0466,0.0293,0.0331,20,2026-07-02T19:46:56
postgres,q10,1.0,5,0.24401,0.00505,0.0207,0.24173,0.25459,20,2026-07-02T19:46:56
mysql,q10,1.0,5,4.07458,0.53708,0.1318,3.5141,4.93371,20,2026-07-02T19:46:56
sqlite,q10,1.0,5,0.65234,0.00463,0.0071,0.64868,0.66087,20,2026-07-02T19:46:56
duckdb,q12,1.0,5,0.0229,0.00325,0.1418,0.01792,0.02705,2,2026-07-02T19:46:56
postgres,q12,1.0,5,0.22687,0.00134,0.0059,0.22573,0.22931,2,2026-07-02T19:46:56
mysql,q12,1.0,5,1.63458,0.01667,0.0102,1.60696,1.6483,2,2026-07-02T19:46:56
sqlite,q12,1.0,5,0.93903,0.01303,0.0139,0.91989,0.95454,2,2026-07-02T19:46:56
duckdb,q14,1.0,5,0.011,0.00474,0.4307,0.00975,0.02143,1,2026-07-02T19:46:56
postgres,q14,1.0,5,0.13523,0.00087,0.0065,0.13458,0.13669,1,2026-07-02T19:46:56
mysql,q14,1.0,5,4.63946,0.16019,0.0345,4.51764,4.94107,1,2026-07-02T19:46:56
sqlite,q14,1.0,5,0.61948,0.00616,0.0099,0.60763,0.62414,1,2026-07-02T19:46:56
duckdb,q18,1.0,5,0.03145,0.00125,0.0398,0.03098,0.03401,57,2026-07-02T19:46:56
postgres,q18,1.0,5,1.64408,0.06557,0.0399,1.63568,1.78936,57,2026-07-02T19:46:56
mysql,q18,1.0,5,1.40066,0.02446,0.0175,1.37053,1.42537,57,2026-07-02T19:46:56
sqlite,q18,1.0,5,0.59537,0.01358,0.0228,0.58583,0.61858,57,2026-07-02T19:46:56
